104,2,244.49,380.81,60.21,13.12,0.86,-1,-1,-1
104,117,367.26,6.82,51.85,8.77,0.78,-1,-1,-1
105,2,244.52,381.13,59.92,13.03,0.85,-1,-1,-1
105,117,368.71,8.49,48.40,8.36,0.83,-1,-1,-1
106,2,244.50,381.89,59.88,13.00,0.85,-1,-1,-1
106,117,367.55,9.11,49.90,8.84,0.88,-1,-1,-1
107,2,243.15,382.16,62.57,13.65,0.84,-1,-1,-1
107,117,367.55,9.98,49.61,9.01,0.88,-1,-1,-1
108,2,243.64,382.90,60.93,13.24,0.85,-1,-1,-1
108,117,368.88,11.58,45.58,8.42,0.81,-1,-1,-1
109,2,242.48,383.15,63.02,13.74,0.86,-1,-1,-1
109,117,368.05,12.16,46.73,8.85,0.82,-1,-1,-1
110,2,243.12,383.89,61.00,13.28,0.85,-1,-1,-1
110,117,367.83,13.01,46.36,9.00,0.82,-1,-1,-1
111,2,242.03,384.15,62.90,13.76,0.85,-1,-1,-1
111,117,367.73,13.96,45.62,9.05,0.83,-1,-1,-1
112,2,243.00,384.88,60.87,13.28,0.85,-1,-1,-1
112,117,367.99,14.94,44.76,9.06,0.83,-1,-1,-1
113,2,242.05,385.14,62.76,13.76,0.84,-1,-1,-1
113,117,368.37,15.94,43.90,9.07,0.82,-1,-1,-1
114,2,241.78,385.23,63.29,13.93,0.83,-1,-1,-1
114,117,370.15,16.95,40.35,8.40,0.82,-1,-1,-1
115,2,243.03,385.89,60.80,13.34,0.83,-1,-1,-1
115,117,368.87,17.28,41.59,8.82,0.83,-1,-1,-1
116,2,242.18,386.13,62.53,13.78,0.82,-1,-1,-1
116,117,367.30,18.04,44.26,9.61,0.33,-1,-1,-1
117,2,242.83,386.86,60.57,13.28,0.82,-1,-1,-1
118,2,242.10,387.11,62.46,13.76,0.83,-1,-1,-1
119,2,241.54,387.85,63.09,13.93,0.83,-1,-1,-1
119,117,369.86,20.95,38.10,8.29,0.77,-1,-1,-1
120,2,241.74,388.12,63.16,13.99,0.83,-1,-1,-1
120,117,370.15,21.97,36.76,8.04,0.82,-1,-1,-1
121,2,242.78,388.86,60.62,13.36,0.84,-1,-1,-1
121,117,368.95,22.29,38.92,8.65,0.82,-1,-1,-1
122,2,243.11,389.12,59.79,13.11,0.83,-1,-1,-1
122,117,368.72,23.05,39.31,8.86,0.81,-1,-1,-1
123,2,241.56,389.19,62.16,13.69,0.84,-1,-1,-1
123,117,368.50,23.31,39.09,8.95,0.79,-1,-1,-1
124,2,242.61,389.87,60.45,13.25,0.84,-1,-1,-1
